title,duration,rating,voters,genre
1. Mahavatar Narsimha,2h 10m,9.2,32K,Action
2. Relay,1h 52m,7.3,1.3K,Action
3. Freaky Tales,1h 47m,6.3,11K,Action
4. Dune: Part Two,2h 46m,8.5,660K,Action
5. Gladiator II,2h 28m,6.5,270K,Action
6. The Beekeeper,1h 45m,6.3,167K,Action
7. The Ministry of Ungentlemanly Warfare,2h 2m,6.8,144K,Action
8. Deadpool & Wolverine,2h 8m,7.5,523K,Action
9. Drive-Away Dolls,1h 24m,5.4,25K,Action
10. Carry-On,1h 59m,6.5,178K,Action
11. William Tell,2h 14m,5.7,4.8K,Action
12. Furiosa: A Mad Max Saga,2h 28m,7.5,299K,Action
13. Rebel Ridge,2h 11m,6.8,95K,Action
14. Kraven the Hunter,2h 7m,5.5,71K,Action
15. Twisters,2h 2m,6.5,182K,Action
16. Kingdom of the Planet of the Apes,2h 25m,6.8,159K,Action
17. Civil War,1h 49m,7.0,250K,Action
18. The Fall Guy,2h 6m,6.8,233K,Action
19. Sonic the Hedgehog 3,1h 50m,6.9,70K,Action
20. Road House,2h 1m,6.2,174K,Action
21. The Unholy Trinity,1h 35m,5.5,3.1K,Action
22. Venom: The Last Dance,1h 50m,6.0,138K,Action
23. The Count of Monte-Cristo,2h 58m,7.6,40K,Action
24. The Union,1h 47m,5.5,55K,Action
25. Borderlands,1h 41m,4.7,52K,Action
26. Old Guy,1h 34m,5.2,4K,Action
27. 40 Acres,1h 53m,6.5,3.4K,Action
28. Abigail,1h 49m,6.5,103K,Action
29. Fight or Flight,1h 42m,6.4,18K,Action
30. Madame Web,1h 56m,4.1,106K,Action
31. Argylle,2h 19m,5.6,96K,Action
32. Elevation,1h 31m,5.6,26K,Action
33. Red One,2h 3m,6.3,145K,Action
34. Land of Bad,1h 53m,6.6,55K,Action
35. Bad Boys: Ride or Die,1h 55m,6.5,105K,Action
36. Transformers One,1h 44m,7.6,57K,Action
37. Monkey Man,2h 1m,6.8,95K,Action
38. Maharaja,2h 21m,8.4,73K,Action
39. Arcadian,1h 32m,5.5,25K,Action
40. Godzilla x Kong: The New Empire,1h 55m,6.0,127K,Action
41. Azrael,1h 26m,5.3,13K,Action
42. Damsel,1h 50m,6.1,113K,Action
43. Beverly Hills Cop: Axel F,1h 58m,6.4,84K,Action
44. The Crow,1h 51m,4.7,38K,Action
45. River of Blood,1h 26m,4.8,2.4K,Action
46. Cloud,2h 4m,6.4,2.3K,Action
47. The Lord of the Rings: The War of the Rohirrim,2h 14m,6.3,35K,Action
48. Kung Fu Panda 4,1h 34m,6.3,73K,Action
49. The Killer,2h 6m,5.7,15K,Action
50. The Instigators,1h 41m,6.2,40K,Action
51. Attack on Titan the Movie: The Last Attack,2h 25m,9.2,19K,Action
52. The Shadow Strays,2h 24m,6.5,10K,Action
53. The Killer's Game,1h 44m,5.8,19K,Action
54. Atlas,1h 58m,5.6,58K,Action
55. Uglies,1h 40m,4.7,35K,Action
56. Hellboy: The Crooked Man,1h 39m,4.5,15K,Action
57. Pushpa: The Rule - Part 2,3h 21m,6.1,61K,Action
58. Kalki 2898 AD,3h,7.0,70K,Action
59. Weekend in Taipei,1h 40m,5.7,5.9K,Action
60. Dirty Angels,1h 44m,4.5,4.9K,Action
61. Werewolves,1h 33m,4.4,8K,Action
62. Jackpot!,1h 46m,5.8,32K,Action
63. Thelma,1h 38m,7.0,25K,Action
64. Lift,1h 47m,5.5,51K,Action
65. Survive,1h 30m,4.6,3.7K,Action
66. Blitz,2h,6.2,17K,Action
67. Homestead,1h 52m,5.2,4.5K,Action
68. Solo Leveling: ReAwakening,2h 1m,8.8,15K,Action
69. Long Gone Heroes,1h 41m,5.1,1.6K,Action
70. Absolution,1h 52m,5.2,9.6K,Action
71. The Courier,1h 41m,6.0,4.8K,Action
72. Megamind vs. The Doom Syndicate,1h 23m,2.4,5.9K,Action
73. Apocalypse Z: The Beginning of the End,1h 57m,6.1,22K,Action
74. Watchmen: Chapter I,1h 23m,7.1,7.5K,Action
75. Rebel Moon - Part Two: The Scargiver,2h 2m,5.3,61K,Action
76. Uprising,2h 6m,6.6,6.2K,Action
77. Brothers,1h 29m,5.4,14K,Action
78. Amaran,2h 47m,8.1,21K,Action
79. Descendants: The Rise of Red,1h 35m,4.7,7.6K,Action
80. Boneyard,1h 36m,4.1,5.5K,Action
81. Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,1h 44m,7.2,9.3K,Action
82. The Silent Hour,1h 39m,6.1,8.9K,Action
83. Levels,1h 33m,5.0,1.7K,Action
84. Under Paris,1h 44m,5.2,38K,Action
85. Armor,1h 29m,3.6,5K,Action
86. Canary Black,1h 41m,5.4,13K,Action
