title,duration,rating,voters,genre
1. Freaky Tales,1h 47m,6.3,11K,Adventure
2. Dune: Part Two,2h 46m,8.5,660K,Adventure
3. Gladiator II,2h 28m,6.5,270K,Adventure
4. Deadpool & Wolverine,2h 8m,7.5,523K,Adventure
5. The Wild Robot,1h 42m,8.2,194K,Adventure
6. Furiosa: A Mad Max Saga,2h 28m,7.5,299K,Adventure
7. Sketch,1h 33m,7.2,1.7K,Adventure
8. Kraven the Hunter,2h 7m,5.5,71K,Adventure
9. Twisters,2h 2m,6.5,182K,Adventure
10. Kingdom of the Planet of the Apes,2h 25m,6.8,159K,Adventure
11. Flow,1h 25m,7.9,92K,Adventure
12. Sonic the Hedgehog 3,1h 50m,6.9,70K,Adventure
13. The Unholy Trinity,1h 35m,5.5,3.1K,Adventure
14. Venom: The Last Dance,1h 50m,6.0,138K,Adventure
15. The Count of Monte-Cristo,2h 58m,7.6,40K,Adventure
16. Moana 2,1h 40m,6.5,115K,Adventure
17. Borderlands,1h 41m,4.7,52K,Adventure
18. Mufasa: The Lion King,1h 58m,6.6,75K,Adventure
19. Inside Out 2,1h 36m,7.5,229K,Adventure
20. The Return,1h 56m,6.2,12K,Adventure
21. Red One,2h 3m,6.3,145K,Adventure
22. Despicable Me 4,1h 34m,6.2,71K,Adventure
23. Bad Boys: Ride or Die,1h 55m,6.5,105K,Adventure
24. Ghostbusters: Frozen Empire,1h 55m,6.1,98K,Adventure
25. Transformers One,1h 44m,7.6,57K,Adventure
26. Paddington in Peru,1h 46m,6.6,29K,Adventure
27. Godzilla x Kong: The New Empire,1h 55m,6.0,127K,Adventure
28. Damsel,1h 50m,6.1,113K,Adventure
29. River of Blood,1h 26m,4.8,2.4K,Adventure
30. The Lord of the Rings: The War of the Rohirrim,2h 14m,6.3,35K,Adventure
31. Kung Fu Panda 4,1h 34m,6.3,73K,Adventure
32. Spaceman,1h 47m,5.7,45K,Adventure
33. Attack on Titan the Movie: The Last Attack,2h 25m,9.2,19K,Adventure
34. Monster Summer,1h 37m,5.7,5.3K,Adventure
35. Atlas,1h 58m,5.6,58K,Adventure
36. Uglies,1h 40m,4.7,35K,Adventure
37. Kalki 2898 AD,3h,7.0,70K,Adventure
38. Survive,1h 30m,4.6,3.7K,Adventure
39. The Garfield Movie,1h 41m,5.7,26K,Adventure
40. Night of the Zoopocalypse,1h 31m,6.0,1.1K,Adventure
41. Please Don't Feed the Children,1h 34m,4.7,786,Adventure
42. Arthur the King,1h 47m,7.0,36K,Adventure
43. Solo Leveling: ReAwakening,2h 1m,8.8,15K,Adventure
44. The Courier,1h 41m,6.0,4.8K,Adventure
45. Wallace & Gromit: Vengeance Most Fowl,1h 22m,7.5,38K,Adventure
46. Megamind vs. The Doom Syndicate,1h 23m,2.4,5.9K,Adventure
47. Rebel Moon - Part Two: The Scargiver,2h 2m,5.3,61K,Adventure
48. Descendants: The Rise of Red,1h 35m,4.7,7.6K,Adventure
49. My Penguin Friend,1h 37m,6.8,6.1K,Adventure
50. Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,1h 44m,7.2,9.3K,Adventure
51. The Day the Earth Blew Up: A Looney Tunes Movie,1h 31m,6.8,7.2K,Adventure
52. Orion and the Dark,1h 33m,6.3,18K,Adventure
53. Spellbound,1h 49m,5.5,8.2K,Adventure
54. Harold and the Purple Crayon,1h 30m,5.7,9.2K,Adventure
55. Bookworm,1h 43m,6.0,2.3K,Adventure
56. Justice League: Crisis on Infinite Earths - Part One,1h 33m,6.2,9.2K,Adventure
57. Manjummel Boys,2h 15m,8.2,30K,Adventure
