title,duration,rating,voters,genre
1. The Substance,2h 21m,7.2,333K,Horror
2. Nosferatu,2h 12m,7.2,228K,Horror
3. Alien: Romulus,1h 59m,7.1,263K,Horror
4. Heretic,1h 51m,7.0,183K,Horror
5. Longlegs,1h 41m,6.6,201K,Horror
6. Speak No Evil,1h 50m,6.8,117K,Horror
7. Beetlejuice Beetlejuice,1h 45m,6.6,160K,Horror
8. A Sacrifice,1h 34m,5.0,6.2K,Horror
9. Smile 2,2h 7m,6.7,122K,Horror
10. Presence,1h 24m,6.1,35K,Horror
11. Trap,1h 45m,5.8,149K,Horror
12. Oddity,1h 38m,6.7,50K,Horror
13. MaXXXine,1h 43m,6.2,77K,Horror
14. Kinds of Kindness,2h 44m,6.5,63K,Horror
15. Terrifier 3,2h 5m,6.3,54K,Horror
16. Witchboard,1h 52m,5.7,438,Horror
17. Abigail,1h 49m,6.5,103K,Horror
18. A Quiet Place: Day One,1h 39m,6.3,159K,Horror
19. The A-Frame,1h 22m,5.5,151,Horror
20. Don't Move,1h 32m,5.8,42K,Horror
21. Arcadian,1h 32m,5.5,25K,Horror
22. The Watchers,1h 42m,5.7,61K,Horror
23. Salem's Lot,1h 54m,5.6,37K,Horror
24. Azrael,1h 26m,5.3,13K,Horror
25. Noise,1h 33m,5.9,275,Horror
26. The Crow,1h 51m,4.7,38K,Horror
27. River of Blood,1h 26m,4.8,2.4K,Horror
28. Get Away,1h 26m,5.3,8.9K,Horror
29. Bone Lake,1h 34m,7.1,59,Horror
30. Cloud,2h 4m,6.4,2.3K,Horror
31. The Damned,1h 29m,5.7,6.4K,Horror
32. Immaculate,1h 29m,5.8,56K,Horror
33. The Deliverance,1h 52m,5.1,24K,Horror
34. Nightbitch,1h 39m,5.5,22K,Horror
35. Cuckoo,1h 42m,5.7,31K,Horror
36. Apartment 7A,1h 47m,5.9,18K,Horror
37. MadS,1h 29m,6.4,9.6K,Horror
38. Lembayung,2h 3m,5.9,819,Horror
39. The Rule of Jenny Pen,1h 44m,6.2,7.7K,Horror
40. Time Cut,1h 31m,5.0,21K,Horror
41. Night Swim,1h 38m,4.7,29K,Horror
42. Y2K,1h 31m,4.8,17K,Horror
43. The First Omen,1h 59m,6.5,67K,Horror
44. Tarot,1h 32m,4.8,34K,Horror
45. The Shrouds,2h,5.8,5.7K,Horror
46. Hellboy: The Crooked Man,1h 39m,4.5,15K,Horror
47. Monster Island,1h 23m,5.2,1.3K,Horror
48. Shelby Oaks,1h 39m,5.4,360,Horror
49. Strange Harvest,1h 34m,6.6,417,Horror
50. Went Up the Hill,1h 40m,6.2,207,Horror
51. The Strangers: Chapter 1,1h 31m,4.6,24K,Horror
52. Werewolves,1h 33m,4.4,8K,Horror
53. Survive,1h 30m,4.6,3.7K,Horror
54. Dirty Boy,1h 38m,7.6,49,Horror
55. Exhuma,2h 14m,6.9,26K,Horror
56. Queen of Bones,1h 30m,4.5,400,Horror
57. Night of the Zoopocalypse,1h 31m,6.0,1.1K,Horror
58. Please Don't Feed the Children,1h 34m,4.7,786,Horror
59. Traumatika,1h 27m,5.8,76,Horror
60. Jimmy and Stiggs,1h 19m,6.0,259,Horror
61. The Master and Margarita,2h 36m,7.1,5.5K,Horror
