title,duration,rating,voters,genre
1. Nosferatu,2h 12m,7.2,228K,Mystery
2. Longlegs,1h 41m,6.6,201K,Mystery
3. Juror #2,1h 54m,7.0,112K,Mystery
4. A Sacrifice,1h 34m,5.0,6.2K,Mystery
5. Blink Twice,1h 42m,6.5,116K,Mystery
6. Smile 2,2h 7m,6.7,122K,Mystery
7. Trap,1h 45m,5.8,149K,Mystery
8. Witchboard,1h 52m,5.7,438,Mystery
9. It's What's Inside,1h 43m,6.6,46K,Mystery
10. Caddo Lake,1h 43m,6.8,48K,Mystery
11. Red One,2h 3m,6.3,145K,Mystery
12. Paddington in Peru,1h 46m,6.6,29K,Mystery
13. The Watchers,1h 42m,5.7,61K,Mystery
14. Love Lies Bleeding,1h 44m,6.6,60K,Mystery
15. Sleeping Dogs,1h 50m,6.2,23K,Mystery
16. The Damned,1h 29m,5.7,6.4K,Mystery
17. The Deliverance,1h 52m,5.1,24K,Mystery
18. I Saw the TV Glow,1h 40m,5.8,40K,Mystery
19. Cuckoo,1h 42m,5.7,31K,Mystery
20. The Instigators,1h 41m,6.2,40K,Mystery
21. The Rule of Jenny Pen,1h 44m,6.2,7.7K,Mystery
22. Time Cut,1h 31m,5.0,21K,Mystery
23. Night Swim,1h 38m,4.7,29K,Mystery
24. Monster Summer,1h 37m,5.7,5.3K,Mystery
25. Force of Nature: The Dry 2,2h,5.9,8K,Mystery
26. Hellboy: The Crooked Man,1h 39m,4.5,15K,Mystery
27. F*** Marry Kill,1h 37m,5.4,4.1K,Mystery
28. Dirty Boy,1h 38m,7.6,49,Mystery
29. Exhuma,2h 14m,6.9,26K,Mystery
30. Long Gone Heroes,1h 41m,5.1,1.6K,Mystery
31. Absolution,1h 52m,5.2,9.6K,Mystery
32. Turtles All the Way Down,1h 51m,6.6,7.9K,Mystery
33. Watchmen: Chapter I,1h 23m,7.1,7.5K,Mystery
34. Boneyard,1h 36m,4.1,5.5K,Mystery
35. Die Alone,1h 30m,5.8,4.3K,Mystery
36. Skincare,1h 36m,5.7,5.2K,Mystery
37. Orion and the Dark,1h 33m,6.3,18K,Mystery
38. Kishkindha Kaandam,2h 13m,8.0,13K,Mystery
39. Slingshot,1h 48m,5.7,11K,Mystery
40. Mononoke the Movie: The Phantom in the Rain,1h 29m,6.7,1.6K,Mystery
41. Watchmen: Chapter II,1h 30m,7.1,3.8K,Mystery
42. Saint Clare,1h 32m,4.6,718,Mystery
43. Blackwater Lane,1h 48m,4.6,2.5K,Mystery
44. Killer Heat,1h 35m,5.6,14K,Mystery
45. Dan Da Dan: First Encounter,1h 23m,8.2,3.3K,Mystery
46. Mr. K,1h 34m,5.4,1.3K,Mystery
47. Black,1h 55m,7.1,3K,Mystery
48. Outbreak,1h 28m,4.4,1.5K,Mystery
49. Do Patti,2h 6m,6.3,70K,Mystery
50. Imaginary,1h 44m,4.7,18K,Mystery
51. Sookshma Darshini,2h 22m,7.8,12K,Mystery
52. The Soul Eater,1h 48m,5.8,3.2K,Mystery
53. Afraid,1h 24m,5.2,15K,Mystery
54. Damaged,1h 37m,4.7,7.9K,Mystery
55. Drive Back,1h 34m,4.5,775,Mystery
56. To Kill a Wolf,1h 32m,8.8,82,Mystery
57. Depravity,1h 57m,4.3,1.3K,Mystery
58. Pedro Páramo,2h 10m,6.3,3.2K,Mystery
59. She's Got No Name,1h 34m,5.4,330,Mystery
