title,duration,rating,voters,genre
1. Eden,2h 9m,6.4,12K,Thriller
2. Relay,1h 52m,7.3,1.3K,Thriller
3. Alien: Romulus,1h 59m,7.1,263K,Thriller
4. Heretic,1h 51m,7.0,183K,Thriller
5. The Surfer,1h 40m,6.0,13K,Thriller
6. Babygirl,1h 54m,5.8,69K,Thriller
7. Longlegs,1h 41m,6.6,201K,Thriller
8. The Beekeeper,1h 45m,6.3,167K,Thriller
9. Drive-Away Dolls,1h 24m,5.4,25K,Thriller
10. Carry-On,1h 59m,6.5,178K,Thriller
11. Conclave,2h,7.4,216K,Thriller
12. Rebel Ridge,2h 11m,6.8,95K,Thriller
13. Kraven the Hunter,2h 7m,5.5,71K,Thriller
14. Twisters,2h 2m,6.5,182K,Thriller
15. The Order,1h 56m,6.8,54K,Thriller
16. Juror #2,1h 54m,7.0,112K,Thriller
17. Kingdom of the Planet of the Apes,2h 25m,6.8,159K,Thriller
18. Civil War,1h 49m,7.0,250K,Thriller
19. Speak No Evil,1h 50m,6.8,117K,Thriller
20. A Sacrifice,1h 34m,5.0,6.2K,Thriller
21. Blink Twice,1h 42m,6.5,116K,Thriller
22. Wolfs,1h 48m,6.5,92K,Thriller
23. Subservience,1h 46m,5.4,32K,Thriller
24. Road House,2h 1m,6.2,174K,Thriller
25. Smile 2,2h 7m,6.7,122K,Thriller
26. Presence,1h 24m,6.1,35K,Thriller
27. Venom: The Last Dance,1h 50m,6.0,138K,Thriller
28. The Count of Monte-Cristo,2h 58m,7.6,40K,Thriller
29. Trap,1h 45m,5.8,149K,Thriller
30. Oddity,1h 38m,6.7,50K,Thriller
31. The Union,1h 47m,5.5,55K,Thriller
32. September 5,1h 35m,7.1,29K,Thriller
33. Borderlands,1h 41m,4.7,52K,Thriller
34. Joker: Folie à Deux,2h 18m,5.2,170K,Thriller
35. 40 Acres,1h 53m,6.5,3.4K,Thriller
36. Abigail,1h 49m,6.5,103K,Thriller
37. Sharp Corner,1h 50m,5.9,2.8K,Thriller
38. It's What's Inside,1h 43m,6.6,46K,Thriller
39. Madame Web,1h 56m,4.1,106K,Thriller
40. Caddo Lake,1h 43m,6.8,48K,Thriller
41. Argylle,2h 19m,5.6,96K,Thriller
42. A Quiet Place: Day One,1h 39m,6.3,159K,Thriller
43. Elevation,1h 31m,5.6,26K,Thriller
44. The A-Frame,1h 22m,5.5,151,Thriller
45. Land of Bad,1h 53m,6.6,55K,Thriller
46. Bad Boys: Ride or Die,1h 55m,6.5,105K,Thriller
47. Barron's Cove,1h 56m,6.0,711,Thriller
48. Monkey Man,2h 1m,6.8,95K,Thriller
49. Don't Move,1h 32m,5.8,42K,Thriller
50. Maharaja,2h 21m,8.4,73K,Thriller
51. Arcadian,1h 32m,5.5,25K,Thriller
52. The Watchers,1h 42m,5.7,61K,Thriller
53. Miller's Girl,1h 33m,5.2,25K,Thriller
54. Love Lies Bleeding,1h 44m,6.6,60K,Thriller
55. Godzilla x Kong: The New Empire,1h 55m,6.0,127K,Thriller
56. Sleeping Dogs,1h 50m,6.2,23K,Thriller
57. Salem's Lot,1h 54m,5.6,37K,Thriller
58. Noise,1h 33m,5.9,275,Thriller
59. Beverly Hills Cop: Axel F,1h 58m,6.4,84K,Thriller
60. The Crow,1h 51m,4.7,38K,Thriller
61. Emilia Pérez,2h 12m,5.4,93K,Thriller
62. River of Blood,1h 26m,4.8,2.4K,Thriller
63. Bone Lake,1h 34m,7.1,59,Thriller
64. Long Distance,1h 26m,5.7,5.3K,Thriller
65. Cloud,2h 4m,6.4,2.3K,Thriller
66. Kung Fu Panda 4,1h 34m,6.3,73K,Thriller
67. Immaculate,1h 29m,5.8,56K,Thriller
68. The Luckiest Man in America,1h 31m,6.2,5.1K,Thriller
69. The Deliverance,1h 52m,5.1,24K,Thriller
70. A Different Man,1h 52m,6.9,33K,Thriller
71. Cuckoo,1h 42m,5.7,31K,Thriller
72. Apartment 7A,1h 47m,5.9,18K,Thriller
73. MadS,1h 29m,6.4,9.6K,Thriller
74. Lembayung,2h 3m,5.9,819,Thriller
75. Room Six,1h 21m,4.0,168,Thriller
76. Mørkeland,1h 39m,6.2,1.3K,Thriller
77. The Killer,2h 6m,5.7,15K,Thriller
78. The Instigators,1h 41m,6.2,40K,Thriller
79. The Rule of Jenny Pen,1h 44m,6.2,7.7K,Thriller
80. Lucky Baskhar,2h 28m,8.0,36K,Thriller
81. Time Cut,1h 31m,5.0,21K,Thriller
82. Night Swim,1h 38m,4.7,29K,Thriller
83. The Shadow Strays,2h 24m,6.5,10K,Thriller
84. King Ivory,2h 10m,6.2,430,Thriller
85. The Killer's Game,1h 44m,5.8,19K,Thriller
86. Force of Nature: The Dry 2,2h,5.9,8K,Thriller
87. Atlas,1h 58m,5.6,58K,Thriller
88. The Shrouds,2h,5.8,5.7K,Thriller
89. In Vitro,1h 29m,5.6,406,Thriller
90. Hellboy: The Crooked Man,1h 39m,4.5,15K,Thriller
91. The Seed of the Sacred Fig,2h 47m,7.6,17K,Thriller
